Flora,Escuela,Año_rango,Año,Título
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Gladiolo (Gladiolus spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Lirio (Iris germanica),Italiana,1601 - 1800,1640,"""Floreros"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1640,"""Floreros"""
Peonía (Paeonia),Italiana,1601 - 1800,1640,"""Floreros"""
Rosa (Rosa),Italiana,1601 - 1800,1640,"""Floreros"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1640,"""Floreros"""
Azucena (Lilium candidum),Española,1401 - 1600,1495,"""La Anunciación"""
Vid / Parra (Vitis vinifera),Italiana,1401 - 1600,1570,"""Copa de la Vendimia"""
Ajenuz / Arañuela (Nigella damascena),Española,1601 - 1800,1671,"""Florero"""
Anémona (Anemone spp.),Española,1601 - 1800,1671,"""Florero"""
Clavel (Dianthus caryophyllus),Española,1601 - 1800,1671,"""Florero"""
"Dondiego de día (Convolvulaceas, Fam.)",Española,1601 - 1800,1671,"""Florero"""
Junquillo (Narcissus jonquilla),Española,1601 - 1800,1671,"""Florero"""
Narciso (Narcissus spp.),Española,1601 - 1800,1671,"""Florero"""
Rosa (Rosa),Española,1601 - 1800,1671,"""Florero"""
Tulipán (Tulipa spp.),Española,1601 - 1800,1671,"""Florero"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Azucena (Lilium candidum),Española,1601 - 1800,1776,"""La Inmaculada Concepción"""
Capuchina (Tropaeolum majus),Flamenca,1601 - 1800,1601,"""Flores sobre un plato"""
"Dondiego de día (Convolvulaceas, Fam.)",Flamenca,1601 - 1800,1601,"""Flores sobre un plato"""
Rosa (Rosa),Flamenca,1601 - 1800,1601,"""Flores sobre un plato"""
Rosa antigua (Rosa centifolia),Flamenca,1601 - 1800,1601,"""Flores sobre un plato"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Hortensia (Hydrangea),Española,1801 - 2000,1924,"""Interior"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1601,"""Florero"""
Clavel (Dianthus caryophyllus),Italiana,1601 - 1800,1601,"""Florero"""
Junquillo (Narcissus jonquilla),Italiana,1601 - 1800,1601,"""Florero"""
Narciso (Narcissus spp.),Italiana,1601 - 1800,1601,"""Florero"""
Rosa (Rosa),Italiana,1601 - 1800,1601,"""Florero"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1601,"""Florero"""
Palmera (Phoenix dactylifera),Española,1801 - 2000,1856,"""Palmeras de Elche"""
Palmera (Phoenix dactylifera),Española,1801 - 2000,1856,"""Palmeras de Elche"""
Palmera (Phoenix dactylifera),Española,1801 - 2000,1856,"""Palmeras de Elche"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Rosa (Rosa),Española,1601 - 1800,1727,"""La Divina Pastora"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Flor de Azahar (Citrus aurantium),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Nabo (Brassica rapa),Flamenca,1601 - 1800,1615,"""Cibeles y las Estaciones dentro de un festón de frutas"""
Aciano / Azulejo (Centaurea cyanus),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Adormidera / Amapola real (Papaver somniferum),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Caléndula / Maravilla (Calendula officinalis),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Clavellina (Dianthus deltoides),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Flor de Azahar (Citrus aurantium),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Lirio (Iris germanica),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Rosa (Rosa),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Aciano / Azulejo (Centaurea cyanus),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Adormidera / Amapola real (Papaver somniferum),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Caléndula / Maravilla (Calendula officinalis),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Clavellina (Dianthus deltoides),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Flor de Azahar (Citrus aurantium),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Lirio (Iris germanica),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Rosa (Rosa),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Aciano / Azulejo (Centaurea cyanus),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Adormidera / Amapola real (Papaver somniferum),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Caléndula / Maravilla (Calendula officinalis),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Clavellina (Dianthus deltoides),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Flor de Azahar (Citrus aurantium),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Lirio (Iris germanica),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Rosa (Rosa),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Aciano / Azulejo (Centaurea cyanus),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Adormidera / Amapola real (Papaver somniferum),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Caléndula / Maravilla (Calendula officinalis),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Clavellina (Dianthus deltoides),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Flor de Azahar (Citrus aurantium),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Lirio (Iris germanica),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Rosa (Rosa),Española,1601 - 1800,1663,"""Florero y recipiente de cristal"""
Azucena (Lilium candidum),Española,1401 - 1600,1505,"""Milagros de los santos médicos Cosme y Damián"""
Azucena (Lilium candidum),Española,1401 - 1600,1505,"""Milagros de los santos médicos Cosme y Damián"""
Jazmín (Jasminum grandiflorum),Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Mirto / Arrayán (Myrtus communis),Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Jazmín (Jasminum grandiflorum),Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Mirto / Arrayán (Myrtus communis),Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Jazmín (Jasminum grandiflorum),Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Mirto / Arrayán (Myrtus communis),Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Jazmín (Jasminum grandiflorum),Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Mirto / Arrayán (Myrtus communis),Española,1601 - 1800,1642,"""Frutero de Delft y dos floreros"""
Vid / Parra (Vitis vinifera),Española,1801 - 2000,1908,"""Tarde de otoño"""
Vid / Parra (Vitis vinifera),Española,1801 - 2000,1908,"""Tarde de otoño"""
Vid / Parra (Vitis vinifera),Española,1801 - 2000,1908,"""Tarde de otoño"""
Vid / Parra (Vitis vinifera),Española,1801 - 2000,1908,"""Tarde de otoño"""
Vid / Parra (Vitis vinifera),Española,1801 - 2000,1908,"""Tarde de otoño"""
Vid / Parra (Vitis vinifera),Española,1801 - 2000,1908,"""Tarde de otoño"""
Vid / Parra (Vitis vinifera),Española,1801 - 2000,1908,"""Tarde de otoño"""
Vid / Parra (Vitis vinifera),Española,1801 - 2000,1908,"""Tarde de otoño"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Azucena (Lilium candidum),Italiana,1801 - 2000,1832,"""La Anunciación"""
Anémona (Anemone spp.),Francesa,1601 - 1800,1660,"""Anémonas, ranúnculo y azucena"""
Azucena (Lilium candidum),Francesa,1601 - 1800,1660,"""Anémonas, ranúnculo y azucena"""
Castaño común (Castanea sativa),Flamenca,1601 - 1800,1601,"""Bodegón"""
Naranjo (Citrus x sinensis),Flamenca,1601 - 1800,1601,"""Bodegón"""
Vid / Parra (Vitis vinifera),Flamenca,1601 - 1800,1601,"""Bodegón"""
Castaño común (Castanea sativa),Flamenca,1601 - 1800,1601,"""Bodegón"""
Naranjo (Citrus x sinensis),Flamenca,1601 - 1800,1601,"""Bodegón"""
Vid / Parra (Vitis vinifera),Flamenca,1601 - 1800,1601,"""Bodegón"""
Castaño común (Castanea sativa),Flamenca,1601 - 1800,1601,"""Bodegón"""
Naranjo (Citrus x sinensis),Flamenca,1601 - 1800,1601,"""Bodegón"""
Vid / Parra (Vitis vinifera),Flamenca,1601 - 1800,1601,"""Bodegón"""
Castaño común (Castanea sativa),Flamenca,1601 - 1800,1601,"""Bodegón"""
Naranjo (Citrus x sinensis),Flamenca,1601 - 1800,1601,"""Bodegón"""
Vid / Parra (Vitis vinifera),Flamenca,1601 - 1800,1601,"""Bodegón"""
Castaño común (Castanea sativa),Flamenca,1601 - 1800,1601,"""Bodegón"""
Naranjo (Citrus x sinensis),Flamenca,1601 - 1800,1601,"""Bodegón"""
Vid / Parra (Vitis vinifera),Flamenca,1601 - 1800,1601,"""Bodegón"""
Amaranto (Amaranthus caudatus),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Anémona (Anemone spp.),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Clavel (Dianthus caryophyllus),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Flor de Azahar (Citrus aurantium),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Iris / Lirio azul (Iris xiphium),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Jacinto (Hyacinthus orientalis),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Junquillo (Narcissus jonquilla),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Lirio (Iris germanica),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Narciso (Narcissus spp.),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Pasionaria / Flor de la Pasión (Passiflora caerulea),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Rosa (Rosa),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Rosa antigua (Rosa centifolia),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Tulipán (Tulipa spp.),Española,1601 - 1800,1689,"""Guirnalda de flores con San Antonio de Padua"""
Palmera (Phoenix dactylifera),Italiana,1401 - 1600,1550,"""Carlos V y Felipe II"""
Palmera (Phoenix dactylifera),Italiana,1401 - 1600,1550,"""Carlos V y Felipe II"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Azucena (Lilium candidum),Española,1801 - 2000,1874,"""La Anunciación"""
Aguileña (Aquilegia vulgaris),Española,1601 - 1800,1650,"""Florero"""
Amaranto (Amaranthus caudatus),Española,1601 - 1800,1650,"""Florero"""
Anémona (Anemone spp.),Española,1601 - 1800,1650,"""Florero"""
Rosa (Rosa),Española,1601 - 1800,1650,"""Florero"""
Tulipán (Tulipa spp.),Española,1601 - 1800,1650,"""Florero"""
Aguileña (Aquilegia vulgaris),Italiana,1601 - 1800,1685,"""Placa con arabescos, flores y frutas"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1685,"""Placa con arabescos, flores y frutas"""
Clavel (Dianthus caryophyllus),Italiana,1601 - 1800,1685,"""Placa con arabescos, flores y frutas"""
Jazmín (Jasminum grandiflorum),Italiana,1601 - 1800,1685,"""Placa con arabescos, flores y frutas"""
Anémona (Anemone spp.),Italiana,1601 - 1800,1685,"""Dos genios entre guirnaldas y ramos de flores"""
Clavel (Dianthus caryophyllus),Italiana,1601 - 1800,1685,"""Dos genios entre guirnaldas y ramos de flores"""
Flor de Azahar (Citrus aurantium),Italiana,1601 - 1800,1685,"""Dos genios entre guirnaldas y ramos de flores"""
Rosa (Rosa),Italiana,1601 - 1800,1685,"""Dos genios entre guirnaldas y ramos de flores"""
Tagetes / Clavelón de India (Tajetes erecta),Italiana,1601 - 1800,1685,"""Dos genios entre guirnaldas y ramos de flores"""
Anémona (Anemone spp.),Española,1601 - 1800,1660,"""Florero"""
Clavel (Dianthus caryophyllus),Española,1601 - 1800,1660,"""Florero"""
Junquillo (Narcissus jonquilla),Española,1601 - 1800,1660,"""Florero"""
Lirio (Iris germanica),Española,1601 - 1800,1660,"""Florero"""
Mundillo / Bola de nieve (Viburnum opulus L.),Española,1601 - 1800,1660,"""Florero"""
Narciso (Narcissus spp.),Española,1601 - 1800,1660,"""Florero"""
Rosa (Rosa),Española,1601 - 1800,1660,"""Florero"""
Tulipán (Tulipa spp.),Española,1601 - 1800,1660,"""Florero"""
Roble (Quercus spp.),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Roble (Quercus spp.),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Roble (Quercus spp.),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Roble (Quercus spp.),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Roble (Quercus spp.),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Roble (Quercus spp.),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Roble (Quercus spp.),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Roble (Quercus spp.),Flamenca,1601 - 1800,1601,"""Una emboscada"""
Clavel (Dianthus caryophyllus),Italiana,1601 - 1800,1601,"""Florero"""
Jacinto (Hyacinthus orientalis),Italiana,1601 - 1800,1601,"""Florero"""
Mundillo / Bola de nieve (Viburnum opulus L.),Italiana,1601 - 1800,1601,"""Florero"""
Rosa (Rosa),Italiana,1601 - 1800,1601,"""Florero"""
Tulipán (Tulipa spp.),Italiana,1601 - 1800,1601,"""Florero"""
Clavel (Dianthus caryophyllus),Italiana,1601 - 1800,1601,"""Florero"""
"Dondiego de día (Convolvulaceas, Fam.)",Italiana,1601 - 1800,1601,"""Florero"""
Espuela de caballero (Consolida ajacis),Italiana,1601 - 1800,1601,"""Florero"""
Lilas (Syringa vulgaris),Italiana,1601 - 1800,1601,"""Florero"""
Lirio (Iris germanica),Italiana,1601 - 1800,1601,"""Florero"""
Malva real / Malvarrosa (Althaea rosea),Italiana,1601 - 1800,1601,"""Florero"""
Rosa (Rosa),Italiana,1601 - 1800,1601,"""Florero"""
Tagetes / Clavelón de India (Tajetes erecta),Italiana,1601 - 1800,1601,"""Florero"""
Clavel (Dianthus caryophyllus),Italiana,1601 - 1800,1601,"""Florero"""
"Dondiego de día (Convolvulaceas, Fam.)",Italiana,1601 - 1800,1601,"""Florero"""
Espuela de caballero (Consolida ajacis),Italiana,1601 - 1800,1601,"""Florero"""
Lilas (Syringa vulgaris),Italiana,1601 - 1800,1601,"""Florero"""
Lirio (Iris germanica),Italiana,1601 - 1800,1601,"""Florero"""
Malva real / Malvarrosa (Althaea rosea),Italiana,1601 - 1800,1601,"""Florero"""
Rosa (Rosa),Italiana,1601 - 1800,1601,"""Florero"""
Tagetes / Clavelón de India (Tajetes erecta),Italiana,1601 - 1800,1601,"""Florero"""
Palmera (Phoenix dactylifera),Hispano-cartaginesa,(-201) - 0,-21,"""Hércules / Palmera con frutos"""
Alhelí dorado (Cheiranthus cheiri),Francesa,1601 - 1800,1787,"""Florero"""
Amapola (Papaver rhoeas),Francesa,1601 - 1800,1787,"""Florero"""
Lilium (Lilium spp.),Francesa,1601 - 1800,1787,"""Florero"""
Muguet / Lirio del valle (Convallaria majalis),Francesa,1601 - 1800,1787,"""Florero"""
Pensamiento (Viola tricolor),Francesa,1601 - 1800,1787,"""Florero"""
Rosa (Rosa),Francesa,1601 - 1800,1787,"""Florero"""
Rosa antigua (Rosa centifolia),Francesa,1601 - 1800,1787,"""Florero"""
Alhelí dorado (Cheiranthus cheiri),Francesa,1601 - 1800,1787,"""Florero"""
Amapola (Papaver rhoeas),Francesa,1601 - 1800,1787,"""Florero"""
Lilium (Lilium spp.),Francesa,1601 - 1800,1787,"""Florero"""
Muguet / Lirio del valle (Convallaria majalis),Francesa,1601 - 1800,1787,"""Florero"""
Pensamiento (Viola tricolor),Francesa,1601 - 1800,1787,"""Florero"""
Rosa (Rosa),Francesa,1601 - 1800,1787,"""Florero"""
Rosa antigua (Rosa centifolia),Francesa,1601 - 1800,1787,"""Florero"""
Alhelí dorado (Cheiranthus cheiri),Francesa,1601 - 1800,1787,"""Florero"""
Amapola (Papaver rhoeas),Francesa,1601 - 1800,1787,"""Florero"""
Lilium (Lilium spp.),Francesa,1601 - 1800,1787,"""Florero"""
Muguet / Lirio del valle (Convallaria majalis),Francesa,1601 - 1800,1787,"""Florero"""
Pensamiento (Viola tricolor),Francesa,1601 - 1800,1787,"""Florero"""
Rosa (Rosa),Francesa,1601 - 1800,1787,"""Florero"""
Rosa antigua (Rosa centifolia),Francesa,1601 - 1800,1787,"""Florero"""
Alhelí dorado (Cheiranthus cheiri),Francesa,1601 - 1800,1787,"""Florero"""
Amapola (Papaver rhoeas),Francesa,1601 - 1800,1787,"""Florero"""
Lilium (Lilium spp.),Francesa,1601 - 1800,1787,"""Florero"""
Muguet / Lirio del valle (Convallaria majalis),Francesa,1601 - 1800,1787,"""Florero"""
Pensamiento (Viola tricolor),Francesa,1601 - 1800,1787,"""Florero"""
Rosa (Rosa),Francesa,1601 - 1800,1787,"""Florero"""
Rosa antigua (Rosa centifolia),Francesa,1601 - 1800,1787,"""Florero"""
Alhelí dorado (Cheiranthus cheiri),Francesa,1601 - 1800,1787,"""Florero"""
Amapola (Papaver rhoeas),Francesa,1601 - 1800,1787,"""Florero"""
Lilium (Lilium spp.),Francesa,1601 - 1800,1787,"""Florero"""
Muguet / Lirio del valle (Convallaria majalis),Francesa,1601 - 1800,1787,"""Florero"""
Pensamiento (Viola tricolor),Francesa,1601 - 1800,1787,"""Florero"""
Rosa (Rosa),Francesa,1601 - 1800,1787,"""Florero"""
Rosa antigua (Rosa centifolia),Francesa,1601 - 1800,1787,"""Florero"""
Alhelí dorado (Cheiranthus cheiri),Francesa,1601 - 1800,1787,"""Florero"""
Amapola (Papaver rhoeas),Francesa,1601 - 1800,1787,"""Florero"""
Lilium (Lilium spp.),Francesa,1601 - 1800,1787,"""Florero"""
Muguet / Lirio del valle (Convallaria majalis),Francesa,1601 - 1800,1787,"""Florero"""
Pensamiento (Viola tricolor),Francesa,1601 - 1800,1787,"""Florero"""
Rosa (Rosa),Francesa,1601 - 1800,1787,"""Florero"""
Rosa antigua (Rosa centifolia),Francesa,1601 - 1800,1787,"""Florero"""
Alhelí dorado (Cheiranthus cheiri),Francesa,1601 - 1800,1787,"""Florero"""
Amapola (Papaver rhoeas),Francesa,1601 - 1800,1787,"""Florero"""
Lilium (Lilium spp.),Francesa,1601 - 1800,1787,"""Florero"""
Muguet / Lirio del valle (Convallaria majalis),Francesa,1601 - 1800,1787,"""Florero"""
Pensamiento (Viola tricolor),Francesa,1601 - 1800,1787,"""Florero"""
