Lugar,Escuela,Año_rango,Año,Título
Madrid,Española,1801 - 2000,1910,"""Almendros en flor. El Pardo"""
Alicante,Española,1801 - 2000,1857,"""Paisaje de Elche"""
Elche,Española,1801 - 2000,1857,"""Paisaje de Elche"""
España,Española,1801 - 2000,1857,"""Paisaje de Elche"""
Alicante,Española,1801 - 2000,1857,"""Paisaje de Elche"""
Elche,Española,1801 - 2000,1857,"""Paisaje de Elche"""
España,Española,1801 - 2000,1857,"""Paisaje de Elche"""
España,Española,1801 - 2000,1868,"""El patio de San Miguel, en Sevilla"""
Sevilla,Española,1801 - 2000,1868,"""El patio de San Miguel, en Sevilla"""
Asturias,Española,1801 - 2000,1886,"""Una carbayera. Asturias"""
España,Española,1801 - 2000,1886,"""Una carbayera. Asturias"""
España,Española,1801 - 2000,1907,"""Cecilio Pla, junto a sus alumnos, en la terraza del estudio"""
Madrid,Española,1801 - 2000,1907,"""Cecilio Pla, junto a sus alumnos, en la terraza del estudio"""
España,Española,1801 - 2000,1907,"""Cecilio Pla, junto a sus alumnos, en la terraza del estudio"""
Madrid,Española,1801 - 2000,1907,"""Cecilio Pla, junto a sus alumnos, en la terraza del estudio"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Buñol,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
Valencia,Española,1801 - 2000,1898,"""Cecilio Pla, junto a familiares y amigos, sentados sobre una gran piedra"""
España,Española,1801 - 2000,1911,"""Espinos en flor. Plantío de los Infantes"""
Madrid,Española,1801 - 2000,1911,"""Espinos en flor. Plantío de los Infantes"""
España,Española,1801 - 2000,1911,"""Espinos en flor. Plantío de los Infantes"""
Madrid,Española,1801 - 2000,1911,"""Espinos en flor. Plantío de los Infantes"""
España,Española,1801 - 2000,1911,"""Espinos en flor. Plantío de los Infantes"""
Madrid,Española,1801 - 2000,1911,"""Espinos en flor. Plantío de los Infantes"""
Buñol,Española,1801 - 2000,1898,"""Paisaje montañoso"""
España,Española,1801 - 2000,1898,"""Paisaje montañoso"""
Valencia,Española,1801 - 2000,1898,"""Paisaje montañoso"""
Italia,Española,1601 - 1800,1670,"""Visión de san Francisco en la Porciúncula"""
Italia,Española,1601 - 1800,1670,"""Visión de san Francisco en la Porciúncula"""
Italia,Española,1601 - 1800,1670,"""Visión de san Francisco en la Porciúncula"""
Italia,Española,1601 - 1800,1670,"""Visión de san Francisco en la Porciúncula"""
Asturias,Española,1801 - 2000,1884,"""Pinos en la costa de Asturias"""
España,Española,1801 - 2000,1884,"""Pinos en la costa de Asturias"""
Asturias,Española,1801 - 2000,1869,"""Montañas (Asturias)"""
España,Española,1801 - 2000,1869,"""Montañas (Asturias)"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
España,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Valencia,Española,1801 - 2000,1844,"""Cesta de flores y vista del Palacio Real de Valencia"""
Italia,Española,1801 - 2000,1903,"""Vendedora de flores en Roma"""
Roma,Española,1801 - 2000,1903,"""Vendedora de flores en Roma"""
Italia,Española,1801 - 2000,1903,"""Vendedora de flores en Roma"""
Roma,Española,1801 - 2000,1903,"""Vendedora de flores en Roma"""
Alicante,Española,1801 - 2000,1856,"""Un bosque de palmeras (Elche)"""
Elche,Española,1801 - 2000,1856,"""Un bosque de palmeras (Elche)"""
España,Española,1801 - 2000,1856,"""Un bosque de palmeras (Elche)"""
Asturias,Española,1801 - 2000,1869,"""Grupo de robles (Picos de Europa)"""
España,Española,1801 - 2000,1869,"""Grupo de robles (Picos de Europa)"""
Picos de Europa,Española,1801 - 2000,1869,"""Grupo de robles (Picos de Europa)"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
España,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Granada,Española,1801 - 2000,1872,"""Jardín de la casa de Fortuny"""
Alsasua,Española,1801 - 2000,1870,"""Robledal (Alsasua)"""
España,Española,1801 - 2000,1870,"""Robledal (Alsasua)"""
Navarra,Española,1801 - 2000,1870,"""Robledal (Alsasua)"""
Frascati,Española,1801 - 2000,1875,"""Pinos de Frascati"""
Italia,Española,1801 - 2000,1875,"""Pinos de Frascati"""
Roma,Española,1801 - 2000,1875,"""Pinos de Frascati"""
Frascati,Española,1801 - 2000,1875,"""Pinos de Frascati"""
Italia,Española,1801 - 2000,1875,"""Pinos de Frascati"""
Roma,Española,1801 - 2000,1875,"""Pinos de Frascati"""
Frascati,Española,1801 - 2000,1910,"""Paisaje con cipreses"""
Italia,Española,1801 - 2000,1910,"""Paisaje con cipreses"""
Roma,Española,1801 - 2000,1910,"""Paisaje con cipreses"""
España,Española,1801 - 2000,1900,"""El pino de Béjar"""
Salamanca,Española,1801 - 2000,1900,"""El pino de Béjar"""
Italia,Italiana ; Veneciana,1601 - 1800,1640,"""Dama veneciana"""
Venecia,Italiana ; Veneciana,1601 - 1800,1640,"""Dama veneciana"""
Italia,Italiana ; Veneciana,1601 - 1800,1640,"""Dama veneciana"""
Venecia,Italiana ; Veneciana,1601 - 1800,1640,"""Dama veneciana"""
Italia,Italiana ; Veneciana,1601 - 1800,1640,"""Dama veneciana"""
Venecia,Italiana ; Veneciana,1601 - 1800,1640,"""Dama veneciana"""
Italia,Italiana ; Veneciana,1601 - 1800,1640,"""Dama veneciana"""
Venecia,Italiana ; Veneciana,1601 - 1800,1640,"""Dama veneciana"""
Italia,Portuguesa,1801 - 2000,1869,"""Paul de Castelfusano, cercanías de Roma, o Pantano de Castelfusano"""
Roma,Portuguesa,1801 - 2000,1869,"""Paul de Castelfusano, cercanías de Roma, o Pantano de Castelfusano"""
España,Española,1801 - 2000,1896,"""Puerto de la Morcuera (Guadarrama)"""
Guadarrama,Española,1801 - 2000,1896,"""Puerto de la Morcuera (Guadarrama)"""
Madrid,Española,1801 - 2000,1896,"""Puerto de la Morcuera (Guadarrama)"""
